name,rut,gender,birth_date,observation_date,heart_rate,diastolic_blood_pressure,systolic_blood_pressure
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1989-06-06,91,66.5,93.9
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2018-08-31,85,86.5,123.5
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1975-07-12,92,79.2,112.4
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2019-04-21,77,95.0,136.6
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2021-06-20,67,77.4,109.8
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2010-11-01,96,79.2,109.2
Gabriel Gaspar Lobos Zuñiga,16278919-8,non_binary,1969-04-04,2011-12-31,59,93.2,134.0
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1992-07-23,86,88.4,124.3
María Julieta Rodriguez Espinoza,12442036-9,female,1955-10-01,1972-05-29,72,84.8,120.8
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2021-02-11,77,88.7,124.1
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,2019-06-03,93,97.9,139.3
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2018-10-21,65,125.5,181.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,1993-05-16,92,77.5,108.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-10-14,68,80.3,111.6
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2016-07-30,63,96.8,139.8
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2009-05-06,86,82.6,115.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2001-12-07,92,80.8,116.2
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,1976-07-13,69,92.6,129.3
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2013-12-26,72,91.3,127.4
Vicente Gabriel Valdebenito Guerra,17926353-k,male,1957-12-18,1996-01-30,91,83.4,119.5
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,1996-08-29,70,90.9,128.6
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2021-01-28,84,91.0,127.4
Gabriel Gaspar Lobos Zuñiga,16278919-8,non_binary,1969-04-04,1985-06-28,67,95.3,137.3
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2006-01-08,87,77.2,108.5
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2016-04-05,89,80.5,115.8
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2018-09-17,69,91.7,128.4
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-07-12,73,93.5,131.2
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2006-08-11,82,85.1,119.6
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2012-12-22,77,94.5,132.2
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2003-12-05,87,84.3,119.0
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1978-12-25,65,101.3,147.4
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2019-10-20,71,77.2,110.4
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1984-07-15,91,85.4,119.9
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2010-12-08,75,93.4,130.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2016-12-08,91,77.1,107.4
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1982-11-04,74,87.9,124.1
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2019-10-03,72,88.6,123.8
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2021-05-18,79,84.3,118.5
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1997-06-11,67,87.5,122.1
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,2003-03-07,91,82.1,115.5
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2008-09-21,80,96.0,137.9
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-04-02,62,91.8,130.1
Lucas Joaquín Donoso Tapia,16044094-5,male,1973-10-22,1981-02-25,88,94.0,136.3
María Isabella Arias Carvajal,12092913-5,female,1952-07-18,2000-10-20,67,98.8,139.9
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-09-28,72,88.7,126.5
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1987-08-19,90,87.4,125.3
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1978-03-09,91,85.5,123.2
Martina Emma Lara Gaete,17600320-0,female,2019-12-16,2020-04-03,72,82.8,117.0
Gabriel Gaspar Lobos Zuñiga,16278919-8,non_binary,1969-04-04,1986-02-12,76,89.1,124.6
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2012-12-27,93,85.7,121.5
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2007-07-29,88,82.0,116.7
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2008-06-03,68,100.1,140.5
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,1990-10-13,70,88.8,126.8
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2017-08-01,87,89.5,128.3
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-01-02,72,76.7,109.9
Gaspar Matías Meza Alfaro,19080686-3,male,1973-04-07,1998-06-02,87,87.0,123.1
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2013-08-16,89,75.3,105.1
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2013-06-02,99,84.1,117.3
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2011-07-14,83,83.5,118.1
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2015-01-14,90,85.0,118.1
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2020-08-29,95,85.4,121.2
Lucas Matías Herrera Romero,15725416-2,male,2009-12-26,2015-11-18,87,92.5,131.3
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2020-06-29,79,81.5,112.8
Agustina Renata Correa Salinas,16602354-8,female,1993-12-19,2002-07-19,70,91.6,132.2
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2005-01-25,61,91.4,128.1
Julián Matías Quiroz Alvarado,16516966-2,male,2004-07-18,2016-09-05,83,90.8,125.4
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2020-05-14,65,94.2,133.7
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,2010-02-15,88,92.1,128.9
Isabella Sofía Guerrero Perez,11554536-1,female,2020-12-03,2021-01-11,68,97.2,140.9
Maximiliano Lucas Avila Valencia,15166596-9,male,2006-12-17,2020-11-16,94,87.0,123.2
Matías Agustín Alvarado Castro,13459723-2,male,1988-09-25,2005-10-19,87,78.4,111.7
María Mia Maldonado Retamal,13226673-5,female,2014-05-01,2020-10-02,75,76.7,105.8
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1979-08-28,86,75.9,105.8
Maite Maite Ojeda Fuentealba,19943131-5,female,2012-05-12,2015-10-12,69,90.9,129.9
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2013-12-27,62,76.8,108.4
Luciano José Salgado Espinoza,14912860-3,male,1974-07-09,1981-11-16,91,69.7,99.4
Leonor Sofía Morales Navarro,19530830-6,female,1973-08-15,2002-10-22,77,88.1,125.6
